measurement_timestamp,state_of_health,state_of_charge,voltage,current,temperature,cycle_count,capacity_fade,internal_resistance,data_source
2022-01-05T10:33:36,99.98,76.3,3.637,9.99,23.6,0,0.02,0.0224,OBD
2022-01-05T13:26:24,99.9,74.34,3.656,-10.06,34.9,19,0.1,0.0219,OBD
2022-01-05T16:19:12,99.9,54.78,3.553,-3.03,28.3,19,0.1,0.0216,Sensor
2022-01-05T19:12:00,99.92,93.36,3.775,5.52,22.4,15,0.08,0.0232,CAN
2022-01-05T22:04:48,99.79,41.24,3.437,-3.14,22.9,47,0.21,0.0169,OBD
2022-01-06T00:57:36,99.97,79.86,3.75,-1.98,36.7,0,0.03,0.0243,OBD
2022-01-06T03:50:24,99.97,74.32,3.685,14.83,44.5,0,0.03,0.0217,OBD
2022-01-06T06:43:12,99.97,36.41,3.447,9.07,33.8,0,0.03,0.0186,OBD
2022-01-06T09:36:00,99.93,80.37,3.722,-7.04,27.4,10,0.07,0.0246,BMS
2022-01-06T12:28:48,99.72,53.16,3.558,-5.91,30.0,63,0.28,0.0228,OBD
2022-01-06T15:21:36,99.74,45.71,3.485,2.61,18.5,57,0.26,0.0214,CAN
2022-01-06T18:14:24,99.97,74.67,3.662,5.77,28.1,0,0.03,0.0205,OBD
2022-01-06T21:07:12,99.88,40.61,3.462,6.47,19.5,23,0.12,0.018,OBD
2022-01-07T00:00:00,99.97,71.56,3.609,-4.81,20.2,0,0.03,0.0145,CAN
2022-01-07T02:52:48,99.97,75.03,3.677,9.79,35.8,0,0.03,0.0233,OBD
2022-01-07T05:45:36,99.97,45.42,3.466,-8.66,19.4,0,0.03,0.0169,BMS
2022-01-07T08:38:24,99.33,43.63,3.483,-3.36,28.8,159,0.67,0.0208,OBD
2022-01-07T11:31:12,99.97,76.81,3.675,9.29,18.1,0,0.03,0.0186,CAN
2022-01-07T14:24:00,99.64,70.8,3.619,5.19,30.9,81,0.36,0.0231,Sensor
2022-01-07T17:16:48,99.97,27.87,3.37,-5.75,26.1,0,0.03,0.0191,BMS
2022-01-07T20:09:36,99.94,78.46,3.66,14.36,23.8,7,0.06,0.0203,OBD
2022-01-07T23:02:24,99.84,50.07,3.533,8.96,30.8,30,0.16,0.0192,CAN
2022-01-08T01:55:12,99.96,57.91,3.522,-4.75,23.8,0,0.04,0.0165,OBD
2022-01-08T04:48:00,99.96,100.0,3.79,0.44,20.9,0,0.04,0.0207,CAN
2022-01-08T07:40:48,99.96,76.51,3.653,13.7,23.1,0,0.04,0.0228,BMS
2022-01-08T10:33:36,99.87,30.61,3.381,5.53,22.9,22,0.13,0.0203,BMS
2022-01-08T13:26:24,99.7,38.88,3.439,7.9,26.5,66,0.3,0.0204,BMS
2022-01-08T16:19:12,99.77,54.5,3.559,-6.26,24.5,47,0.23,0.0224,CAN
2022-01-08T19:12:00,99.9,77.9,3.661,-8.41,25.5,15,0.1,0.0209,BMS
2022-01-08T22:04:48,99.73,70.25,3.604,9.72,21.1,58,0.27,0.0182,BMS
2022-01-09T00:57:36,99.76,51.02,3.519,-5.37,39.3,49,0.24,0.0246,CAN
2022-01-09T03:50:24,99.8,60.07,3.571,-8.66,24.1,39,0.2,0.021,Sensor
2022-01-09T06:43:12,99.96,59.59,3.574,13.31,33.1,0,0.04,0.0232,OBD
2022-01-09T09:36:00,99.92,77.66,3.69,10.5,36.5,9,0.08,0.0177,Sensor
2022-01-09T12:28:48,99.96,46.61,3.463,-6.48,26.8,0,0.04,0.0177,CAN
2022-01-09T15:21:36,99.96,57.4,3.551,-7.87,34.4,0,0.04,0.0222,CAN
2022-01-09T18:14:24,99.93,72.74,3.636,-7.8,25.3,7,0.07,0.0179,OBD
2022-01-09T21:07:12,99.96,48.94,3.487,-5.97,37.7,0,0.04,0.022,Sensor
2022-01-10T00:00:00,99.95,80.05,3.722,-9.67,28.1,0,0.05,0.0192,CAN
2022-01-10T02:52:48,99.95,33.81,3.424,8.17,34.6,0,0.05,0.0224,OBD
2022-01-10T05:45:36,99.95,74.43,3.641,-0.09,29.9,0,0.05,0.0193,OBD
2022-01-10T08:38:24,99.95,40.4,3.506,-2.15,34.8,0,0.05,0.0219,BMS
2022-01-10T11:31:12,99.95,49.8,3.526,-7.16,26.2,0,0.05,0.0204,OBD
2022-01-10T14:24:00,99.88,95.37,3.785,0.62,21.7,17,0.12,0.0225,CAN
2022-01-10T17:16:48,99.95,23.85,3.336,-8.65,23.9,0,0.05,0.0209,OBD
2022-01-10T20:09:36,99.95,35.93,3.481,6.64,26.6,0,0.05,0.0207,OBD
2022-01-10T23:02:24,99.95,58.11,3.556,-7.25,30.6,0,0.05,0.0205,CAN
2022-01-11T01:55:12,99.95,70.41,3.673,-4.08,35.3,0,0.05,0.0244,OBD
2022-01-11T04:48:00,99.93,81.6,3.719,10.81,28.5,4,0.07,0.0228,BMS
2022-01-11T07:40:48,99.93,80.12,3.68,-5.08,17.7,4,0.07,0.0188,OBD
2022-01-11T10:33:36,99.95,78.18,3.726,11.32,41.8,0,0.05,0.0251,BMS
2022-01-11T13:26:24,99.89,27.68,3.364,-1.63,23.9,13,0.11,0.0201,OBD
2022-01-11T16:19:12,99.62,58.09,3.583,-3.82,28.5,80,0.38,0.0209,BMS
2022-01-11T19:12:00,99.95,81.66,3.753,0.1,37.0,0,0.05,0.024,OBD
2022-01-11T22:04:48,99.95,33.95,3.414,-0.93,22.7,0,0.05,0.0209,Sensor
2022-01-12T00:57:36,99.71,45.8,3.514,15.36,35.9,58,0.29,0.0255,CAN
2022-01-12T03:50:24,99.94,29.91,3.41,-8.74,23.5,0,0.06,0.0174,BMS
2022-01-12T06:43:12,99.94,33.87,3.408,4.4,37.5,0,0.06,0.0228,BMS
2022-01-12T09:36:00,99.94,89.68,3.773,5.96,34.3,0,0.06,0.0221,CAN
2022-01-12T12:28:48,99.94,48.72,3.517,9.54,30.2,0,0.06,0.0193,CAN
2022-01-12T15:21:36,99.94,55.11,3.56,10.4,38.4,0,0.06,0.0235,BMS
2022-01-12T18:14:24,99.74,63.57,3.626,-6.22,36.0,50,0.26,0.0206,BMS
2022-01-12T21:07:12,99.83,50.83,3.533,6.17,33.6,27,0.17,0.019,CAN
2022-01-13T00:00:00,99.94,92.93,3.794,5.9,35.6,0,0.06,0.0229,OBD
2022-01-13T02:52:48,99.69,57.32,3.511,-8.67,19.0,63,0.31,0.0178,OBD
2022-01-13T05:45:36,99.58,43.86,3.445,-5.59,33.1,88,0.42,0.0237,OBD
2022-01-13T08:38:24,99.85,37.7,3.444,-0.12,30.2,22,0.15,0.0244,OBD
2022-01-13T11:31:12,99.91,31.29,3.452,11.86,37.8,7,0.09,0.0225,OBD
2022-01-13T14:24:00,99.83,88.18,3.79,-6.09,37.1,27,0.17,0.0234,CAN
2022-01-13T17:16:48,99.94,49.75,3.515,-3.59,35.3,0,0.06,0.0241,CAN
2022-01-13T20:09:36,99.94,39.07,3.443,9.48,20.2,0,0.06,0.0179,OBD
2022-01-13T23:02:24,99.89,61.71,3.584,-2.28,26.8,10,0.11,0.0205,OBD
2022-01-14T01:55:12,99.93,60.23,3.594,-5.68,30.5,0,0.07,0.0195,BMS
2022-01-14T04:48:00,99.88,89.21,3.769,-1.46,30.8,13,0.12,0.0231,BMS
2022-01-14T07:40:48,99.47,62.59,3.581,11.28,27.9,114,0.53,0.0196,BMS
2022-01-14T10:33:36,99.9,63.23,3.627,-5.26,42.5,9,0.1,0.0239,OBD
2022-01-14T13:26:24,99.93,62.66,3.624,-2.13,28.2,0,0.07,0.0246,BMS
2022-01-14T16:19:12,99.67,46.61,3.481,13.08,36.8,64,0.33,0.0199,CAN
2022-01-14T19:12:00,99.93,87.08,3.741,14.45,36.2,0,0.07,0.0217,CAN
2022-01-14T22:04:48,99.78,53.19,3.501,-5.72,28.4,38,0.22,0.0205,OBD
2022-01-15T00:57:36,99.93,27.76,3.418,-5.15,41.0,0,0.07,0.0237,BMS
2022-01-15T03:50:24,99.93,61.71,3.585,-8.66,30.7,0,0.07,0.0236,CAN
2022-01-15T06:43:12,99.81,71.58,3.655,-3.23,34.6,30,0.19,0.0206,Sensor
2022-01-15T09:36:00,99.74,94.44,3.789,0.32,28.0,48,0.26,0.0265,CAN
2022-01-15T12:28:48,99.66,59.16,3.596,11.98,21.5,67,0.34,0.0175,BMS
2022-01-15T15:21:36,99.85,57.47,3.592,-9.14,33.0,19,0.15,0.0225,CAN
2022-01-15T18:14:24,99.75,59.68,3.551,15.49,24.0,43,0.25,0.0193,BMS
2022-01-15T21:07:12,99.56,46.63,3.493,10.56,39.2,92,0.44,0.0242,CAN
2022-01-16T00:00:00,99.91,67.92,3.604,-0.54,32.6,4,0.09,0.0246,CAN
2022-01-16T02:52:48,99.92,27.68,3.387,4.36,20.7,0,0.08,0.0178,BMS
2022-01-16T05:45:36,99.92,37.7,3.425,5.67,35.7,0,0.08,0.0236,BMS
2022-01-16T08:38:24,99.75,22.61,3.386,-4.01,42.5,42,0.25,0.0247,OBD
2022-01-16T11:31:12,99.92,38.8,3.476,-1.46,27.7,0,0.08,0.0221,OBD
2022-01-16T14:24:00,99.92,83.83,3.687,7.81,25.6,0,0.08,0.0183,OBD
2022-01-16T17:16:48,99.88,53.26,3.549,14.39,38.9,11,0.12,0.0236,BMS
2022-01-16T20:09:36,99.92,42.17,3.459,9.91,29.9,0,0.08,0.0199,CAN
2022-01-16T23:02:24,99.92,44.73,3.504,8.24,34.8,0,0.08,0.0229,OBD
2022-01-17T01:55:12,99.86,51.69,3.508,5.02,32.5,15,0.14,0.0215,OBD
2022-01-17T04:48:00,99.92,85.49,3.783,-3.7,38.7,0,0.08,0.0213,OBD
2022-01-17T07:40:48,99.86,68.49,3.582,12.23,21.3,14,0.14,0.0235,OBD
2022-01-17T10:33:36,99.62,63.06,3.612,1.68,33.1,74,0.38,0.0203,Sensor
2022-01-17T13:26:24,99.76,51.93,3.498,9.56,22.6,40,0.24,0.0171,BMS
2022-01-17T16:19:12,99.92,78.05,3.706,2.65,37.6,0,0.08,0.023,BMS
2022-01-17T19:12:00,99.84,94.06,3.768,-7.77,35.2,20,0.16,0.0235,OBD
2022-01-17T22:04:48,99.91,50.93,3.527,14.61,22.6,0,0.09,0.0205,Sensor
2022-01-18T00:57:36,99.85,73.21,3.665,9.5,29.6,17,0.15,0.0205,CAN
2022-01-18T03:50:24,99.75,80.71,3.704,-5.45,25.1,40,0.25,0.0195,BMS
2022-01-18T06:43:12,99.86,27.56,3.369,-9.1,23.8,14,0.14,0.0199,CAN
2022-01-18T09:36:00,99.84,69.69,3.632,5.01,21.1,17,0.16,0.0201,OBD
2022-01-18T12:28:48,99.9,79.99,3.699,14.31,32.8,3,0.1,0.0208,OBD
2022-01-18T15:21:36,99.91,24.06,3.371,9.58,33.4,0,0.09,0.0235,CAN
2022-01-18T18:14:24,99.91,70.46,3.64,-0.2,31.1,0,0.09,0.0206,BMS
2022-01-18T21:07:12,99.91,34.5,3.398,2.89,11.9,0,0.09,0.0173,CAN
2022-01-19T00:00:00,99.61,78.88,3.666,7.28,25.3,74,0.39,0.0192,OBD
2022-01-19T02:52:48,99.55,75.98,3.71,6.4,36.9,88,0.45,0.0217,BMS
2022-01-19T05:45:36,99.42,76.31,3.711,-8.93,31.5,122,0.58,0.0215,BMS
2022-01-19T08:38:24,99.44,24.36,3.361,-8.62,26.0,115,0.56,0.0229,OBD
2022-01-19T11:31:12,99.61,33.48,3.438,-3.07,31.3,74,0.39,0.024,OBD
2022-01-19T14:24:00,99.91,86.4,3.787,-8.22,32.7,0,0.09,0.0252,BMS
2022-01-19T17:16:48,99.74,38.21,3.414,1.27,32.0,41,0.26,0.0218,OBD
2022-01-19T20:09:36,99.89,60.47,3.584,11.95,36.7,4,0.11,0.0207,CAN
2022-01-19T23:02:24,99.75,59.73,3.572,14.57,40.1,39,0.25,0.0229,BMS
2022-01-20T01:55:12,99.9,71.06,3.691,3.81,35.4,0,0.1,0.0222,CAN
2022-01-20T04:48:00,99.69,96.14,3.785,-0.07,36.3,53,0.31,0.0205,Sensor
2022-01-20T07:40:48,99.88,35.58,3.447,5.14,32.6,5,0.12,0.0193,BMS
2022-01-20T10:33:36,99.87,20.55,3.369,13.23,36.4,8,0.13,0.0201,OBD
2022-01-20T13:26:24,99.7,45.55,3.501,11.31,38.0,51,0.3,0.0256,CAN
2022-01-20T16:19:12,99.9,24.48,3.444,6.12,43.2,0,0.1,0.0223,CAN
2022-01-20T19:12:00,99.42,87.66,3.757,3.01,41.2,118,0.58,0.0221,BMS
2022-01-20T22:04:48,99.82,27.41,3.365,-7.54,39.0,20,0.18,0.0201,BMS
2022-01-21T00:57:36,99.9,66.69,3.629,11.59,43.9,0,0.1,0.0199,CAN
2022-01-21T03:50:24,99.9,21.85,3.305,-2.02,24.5,0,0.1,0.0195,BMS
2022-01-21T06:43:12,99.73,48.92,3.547,1.37,29.3,41,0.27,0.0225,OBD
2022-01-21T09:36:00,99.9,82.94,3.729,-3.28,37.9,0,0.1,0.0222,OBD
2022-01-21T12:28:48,99.65,66.56,3.6,-9.11,27.9,62,0.35,0.0184,CAN
2022-01-21T15:21:36,99.68,59.96,3.578,13.37,24.1,53,0.32,0.0187,OBD
2022-01-21T18:14:24,99.67,54.85,3.532,4.81,21.9,56,0.33,0.0188,OBD
2022-01-21T21:07:12,99.89,51.64,3.539,11.36,34.0,0,0.11,0.0221,BMS
2022-01-22T00:00:00,99.89,80.57,3.727,2.44,32.6,0,0.11,0.0195,CAN
2022-01-22T02:52:48,99.83,46.26,3.489,-5.3,33.8,17,0.17,0.0203,CAN
2022-01-22T05:45:36,99.76,71.65,3.633,14.59,37.3,33,0.24,0.021,Sensor
2022-01-22T08:38:24,99.86,58.55,3.62,8.47,42.9,8,0.14,0.024,BMS
2022-01-22T11:31:12,99.45,43.89,3.525,-5.56,42.8,110,0.55,0.025,OBD
2022-01-22T14:24:00,99.89,96.5,3.8,-0.21,26.2,0,0.11,0.0207,BMS
2022-01-22T17:16:48,99.82,42.94,3.52,11.45,47.0,18,0.18,0.0239,OBD
2022-01-22T20:09:36,99.58,73.8,3.694,-5.18,49.2,76,0.42,0.0256,CAN
2022-01-22T23:02:24,99.89,65.05,3.615,2.11,38.3,0,0.11,0.0247,OBD
2022-01-23T01:55:12,99.65,33.61,3.402,1.64,29.8,59,0.35,0.0235,CAN
2022-01-23T04:48:00,99.62,87.77,3.754,7.5,30.5,67,0.38,0.0189,OBD
2022-01-23T07:40:48,99.76,71.97,3.62,6.39,27.7,32,0.24,0.0208,OBD
2022-01-23T10:33:36,99.71,67.23,3.665,-3.36,39.6,43,0.29,0.0243,CAN
2022-01-23T13:26:24,99.84,67.53,3.637,14.33,27.7,11,0.16,0.0187,OBD
2022-01-23T16:19:12,99.75,72.53,3.651,9.29,30.9,34,0.25,0.0202,OBD
2022-01-23T19:12:00,99.74,74.8,3.675,-3.27,36.4,36,0.26,0.0239,OBD
2022-01-23T22:04:48,99.62,30.91,3.437,9.91,47.7,65,0.38,0.0237,Sensor
2022-01-24T00:57:36,99.8,68.03,3.638,-7.52,32.6,21,0.2,0.0228,BMS
2022-01-24T03:50:24,99.77,44.52,3.467,9.79,38.6,28,0.23,0.0232,CAN
2022-01-24T06:43:12,99.48,62.31,3.584,-7.52,41.3,99,0.52,0.0186,CAN
2022-01-24T09:36:00,99.79,78.88,3.717,-3.86,39.8,24,0.21,0.0186,OBD
2022-01-24T12:28:48,99.88,37.07,3.455,4.82,37.0,0,0.12,0.0211,CAN
2022-01-24T15:21:36,99.87,50.57,3.534,12.9,34.2,3,0.13,0.0215,CAN
2022-01-24T18:14:24,99.87,76.26,3.675,14.62,29.6,3,0.13,0.0196,OBD
2022-01-24T21:07:12,99.88,59.68,3.599,10.67,31.7,0,0.12,0.0201,CAN
2022-01-25T00:00:00,99.86,90.11,3.738,9.04,28.4,5,0.14,0.0204,CAN
2022-01-25T02:52:48,99.88,22.02,3.381,5.51,42.0,0,0.12,0.0247,OBD
2022-01-25T05:45:36,99.88,45.06,3.446,3.45,26.8,0,0.12,0.0218,BMS
2022-01-25T08:38:24,99.61,43.41,3.516,-2.48,38.6,67,0.39,0.0257,BMS
2022-01-25T11:31:12,99.74,47.45,3.492,0.07,41.2,34,0.26,0.0249,CAN
2022-01-25T14:24:00,99.88,72.24,3.67,-6.11,30.6,0,0.12,0.0208,CAN
2022-01-25T17:16:48,99.88,40.6,3.498,0.06,31.3,0,0.12,0.0204,OBD
2022-01-25T20:09:36,99.87,76.97,3.687,-9.78,33.7,0,0.13,0.021,OBD
2022-01-25T23:02:24,99.85,75.4,3.683,4.3,38.6,7,0.15,0.0198,OBD
2022-01-26T01:55:12,99.87,53.78,3.563,0.48,35.3,0,0.13,0.0203,OBD
2022-01-26T04:48:00,99.83,85.37,3.743,4.43,28.0,11,0.17,0.0184,CAN
2022-01-26T07:40:48,99.87,75.02,3.729,5.29,39.8,0,0.13,0.0204,OBD
2022-01-26T10:33:36,99.26,78.35,3.683,3.15,22.3,152,0.74,0.0202,BMS
2022-01-26T13:26:24,99.67,29.68,3.415,2.21,38.7,51,0.33,0.0249,OBD
2022-01-26T16:19:12,99.87,38.92,3.525,5.03,34.6,0,0.13,0.0213,BMS
2022-01-26T19:12:00,99.68,71.8,3.673,11.11,29.9,48,0.32,0.0231,CAN
2022-01-26T22:04:48,99.66,50.86,3.539,7.11,27.7,53,0.34,0.0191,OBD
2022-01-27T00:57:36,99.87,79.35,3.714,-2.38,34.0,0,0.13,0.0233,OBD
2022-01-27T03:50:24,99.63,66.67,3.661,-8.2,40.2,60,0.37,0.0231,CAN
2022-01-27T06:43:12,99.87,22.87,3.364,-7.35,31.1,0,0.13,0.0212,BMS
2022-01-27T09:36:00,99.87,90.87,3.754,-2.73,26.3,0,0.13,0.02,CAN
2022-01-27T12:28:48,99.77,52.83,3.547,4.32,33.4,24,0.23,0.0221,CAN
2022-01-27T15:21:36,99.62,70.36,3.705,-6.8,34.1,61,0.38,0.0237,CAN
2022-01-27T18:14:24,99.86,21.62,3.38,-10.31,34.1,0,0.14,0.0219,OBD
2022-01-27T21:07:12,99.84,21.88,3.354,-2.23,40.1,5,0.16,0.0215,OBD
2022-01-28T00:00:00,99.86,89.54,3.78,-0.6,42.9,0,0.14,0.0276,OBD
2022-01-28T02:52:48,99.49,31.95,3.439,13.62,31.4,92,0.51,0.0235,OBD
2022-01-28T05:45:36,99.65,41.6,3.488,0.1,33.5,52,0.35,0.0214,OBD
2022-01-28T08:38:24,99.86,45.64,3.515,-4.89,37.6,0,0.14,0.0268,BMS
2022-01-28T11:31:12,99.64,38.47,3.434,9.0,30.6,55,0.36,0.0185,OBD
2022-01-28T14:24:00,99.86,74.66,3.691,-8.08,43.4,0,0.14,0.024,BMS
2022-01-28T17:16:48,99.82,49.08,3.529,-9.48,29.3,10,0.18,0.0208,CAN
2022-01-28T20:09:36,99.86,67.25,3.652,-6.98,44.1,0,0.14,0.0242,OBD
2022-01-28T23:02:24,99.75,42.63,3.496,11.51,39.9,27,0.25,0.0244,CAN
2022-01-29T01:55:12,99.86,33.49,3.376,8.34,23.8,0,0.14,0.0197,Sensor
2022-01-29T04:48:00,99.77,68.99,3.647,-4.93,42.6,23,0.23,0.0216,BMS
2022-01-29T07:40:48,99.86,61.32,3.588,-3.18,40.4,0,0.14,0.0226,OBD
2022-01-29T10:33:36,99.57,22.06,3.408,-6.62,37.3,72,0.43,0.0237,OBD
2022-01-29T13:26:24,99.36,36.12,3.46,3.38,28.3,124,0.64,0.0206,OBD
2022-01-29T16:19:12,99.85,69.76,3.643,14.04,26.5,0,0.15,0.021,OBD
2022-01-29T19:12:00,99.35,95.19,3.774,0.59,21.4,124,0.65,0.0169,BMS
2022-01-29T22:04:48,99.62,32.73,3.425,2.78,30.7,59,0.38,0.0208,OBD
2022-01-30T00:57:36,99.85,69.94,3.655,0.71,35.0,0,0.15,0.0211,CAN
2022-01-30T03:50:24,99.83,73.87,3.689,-0.06,29.9,5,0.17,0.0213,Sensor
2022-01-30T06:43:12,99.85,31.12,3.453,6.06,44.1,0,0.15,0.0227,Sensor
2022-01-30T09:36:00,99.76,69.96,3.645,12.99,25.8,24,0.24,0.0242,CAN
2022-01-30T12:28:48,99.43,40.8,3.487,9.33,32.1,104,0.57,0.0146,OBD
2022-01-30T15:21:36,99.85,66.09,3.629,10.03,34.1,0,0.15,0.0238,CAN
2022-01-30T18:14:24,99.62,69.0,3.651,0.98,35.6,57,0.38,0.0171,OBD
2022-01-30T21:07:12,99.85,21.45,3.316,8.42,25.4,0,0.15,0.0224,OBD
2022-01-31T00:00:00,99.51,75.2,3.675,10.9,34.8,83,0.49,0.0186,CAN
2022-01-31T02:52:48,99.74,30.88,3.441,13.01,34.0,28,0.26,0.0234,BMS
2022-01-31T05:45:36,99.83,51.75,3.539,11.23,36.4,4,0.17,0.0243,CAN
2022-01-31T08:38:24,99.71,73.38,3.669,-5.77,40.9,35,0.29,0.0208,Sensor
2022-01-31T11:31:12,99.66,53.71,3.58,-0.26,42.3,46,0.34,0.0225,BMS
2022-01-31T14:24:00,99.81,67.19,3.635,7.72,39.8,9,0.19,0.0256,Sensor
2022-01-31T17:16:48,99.75,72.74,3.656,3.32,35.0,24,0.25,0.0215,BMS
2022-01-31T20:09:36,99.84,74.4,3.674,-3.18,27.6,0,0.16,0.0244,BMS
2022-01-31T23:02:24,99.82,35.2,3.417,6.14,36.6,6,0.18,0.0206,CAN
2022-02-01T01:55:12,99.84,39.64,3.445,14.3,29.4,0,0.16,0.0232,CAN
2022-02-01T04:48:00,99.82,84.59,3.713,0.14,32.3,6,0.18,0.0217,Sensor
2022-02-01T07:40:48,99.79,58.58,3.561,-0.47,34.1,13,0.21,0.0206,CAN
2022-02-01T10:33:36,99.84,76.67,3.689,-8.15,32.6,0,0.16,0.0219,OBD
2022-02-01T13:26:24,99.41,37.67,3.451,6.88,44.2,108,0.59,0.0258,OBD
2022-02-01T16:19:12,99.53,27.46,3.418,-4.1,43.3,76,0.47,0.0252,CAN
2022-02-01T19:12:00,99.79,76.21,3.688,-0.22,36.3,13,0.21,0.0232,CAN
2022-02-01T22:04:48,99.74,64.64,3.621,-2.69,28.4,24,0.26,0.0197,OBD
2022-02-02T00:57:36,99.38,33.52,3.454,-4.84,44.3,113,0.62,0.0251,OBD
2022-02-02T03:50:24,99.84,34.72,3.411,9.13,28.5,0,0.16,0.0227,OBD
2022-02-02T06:43:12,99.64,53.62,3.545,8.65,44.3,50,0.36,0.0274,OBD
2022-02-02T09:36:00,99.6,79.19,3.678,12.94,35.7,60,0.4,0.0235,CAN
2022-02-02T12:28:48,99.84,49.64,3.526,13.17,42.0,0,0.16,0.0199,OBD
2022-02-02T15:21:36,99.73,48.48,3.518,6.03,19.2,27,0.27,0.0179,OBD
2022-02-02T18:14:24,99.57,60.45,3.594,-2.21,41.9,65,0.43,0.0202,CAN
2022-02-02T21:07:12,99.83,68.46,3.633,13.25,33.9,0,0.17,0.0191,CAN
2022-02-03T00:00:00,99.78,80.8,3.703,7.01,32.1,14,0.22,0.0218,BMS
2022-02-03T02:52:48,99.31,61.53,3.56,-4.2,24.8,129,0.69,0.0236,OBD
2022-02-03T05:45:36,99.83,38.2,3.444,-3.94,23.4,0,0.17,0.0185,OBD
2022-02-03T08:38:24,99.52,49.48,3.554,7.55,44.8,77,0.48,0.0215,CAN
2022-02-03T11:31:12,99.66,25.07,3.397,-1.35,40.8,43,0.34,0.0216,OBD
2022-02-03T14:24:00,99.55,92.02,3.771,9.8,30.1,69,0.45,0.0196,CAN
2022-02-03T17:16:48,99.43,21.16,3.396,11.08,37.0,100,0.57,0.0232,CAN
2022-02-03T20:09:36,99.5,29.41,3.398,-0.44,31.9,81,0.5,0.0234,CAN
2022-02-03T23:02:24,99.83,64.48,3.629,-5.12,35.0,0,0.17,0.0191,OBD
2022-02-04T01:55:12,99.83,60.71,3.558,2.23,28.1,0,0.17,0.0237,OBD
2022-02-04T04:48:00,99.63,85.2,3.794,-5.95,47.3,50,0.37,0.0276,BMS
